;Regular expressions;;;;Regular grammars;;;
Grammar;Avg Elapsed time (ms);Avg Score;Avg Generation;Best result;Avg Elapsed time (ms);Avg Score;Avg Generation;Best result
Tomita 1;150;1,000;0;a*;1449;1;0;"A = 'a'A | epsilon;"
Tomita 2;108;1,000;0;(ab)*;11831;1;8;"A = epsilon|'a'C;
C = 'b'A;"
Tomita 3;204332;0,887;50;((((b(((b((b(b|a))|a)*)|((b((b((b(b((b(b|a))|b)))|b))|b))|a)*)|b))|a)|b)|((b|a)|((b(b|(b(b((ba)|b)))))|a)*));1982049;0,887;50;"A = epsilon|'a'C|'a'|'b'A|'b'D;
D = 'b';
B = 'b'|'b'A|'b'D;
C = 'a'A|'b'B|'a'D;"
Tomita 4;36871;0,877;48;((a+|((((((b(b|a))|b)a)|a)*b?)b?))(a*|((((b|(a|b))|a)|b)a)));200228;0,993;18;"A = 'a'A|epsilon|'b'C|'b'B;
C = 'a'A|epsilon|'a';
B = 'a'C|'b'C|'a';"
Tomita 5;19325;0,935;50;((b|(((a|b)|a)(((b|((b|a)|((b|a)|((ab)b))))|a)((b|a)|((ab)b)))))((b|a)|(a|b)))*;464475;0,9;50;"B = epsilon|'b'D|'a'D;
D = 'a'B|'b'B;
A = 'b'D;"
Tomita 6;21928;0,784;50;((((b((((a|b)|(((b(b|a))|a)|(a|((b(b|a))b))))((b(b|a))|a))(((b(b|a))(a|b))|a)))(b|a))(ab))*|((((((b|(((ab)(a|((((b(b|a))(b|a))|a)|b)))((b|a)|b)))|((b|a)a))((ab)|a)*)|(((((((b(b|a))(b|a))|(b|a))|b)((b(b|a))|a))|(b|a))((b(b|a))|a)))((b(b|((ab)(a|b))))|a))((b(b|a))|a)*));533063;0,781;50;"C = 'a'B|epsilon|'a'|'b'A;
A = 'a'C|'b'B;
B = 'a'A|'b'C;"
Tomita 7;23655;0,960;44;(((b(((a+|b*)|(a|b))|(b*a+)))|(a+|b*))(a?(((b*(b|a)?)a*)|(a|(b|a)))));434619;0,922;48;"A = 'a'B|epsilon|'b'C|'b'B|'a'|'b'A|'a'D;
B = 'a'B|epsilon|'b'C|'a'|'b'D|'a'D;
C = epsilon|'b'C|'a'D;
D = epsilon|'a'D;"
Grammar Avg;43767;0,920;35;;518245;0,926;32;
;;;;;;;;